,name,rating,reviews,company_type,Head_Quarters,Company_Age,No_of_Employee
27948,Udaan,4.1,(4.5k Reviews),Private,"Bangalore,Karnataka + 314 more",7 years old,1k-5k Employees (India)
27949,Asian Paints,4.2,(4.6k Reviews),Public,"Mumbai,Maharashtra + 342 more",81 years old,10k-50k Employees (India)
27950,NTT DATA,4.0,(4.6k Reviews),Private,"Chiyoda City,Tokyo + 41 more",35 years old,10k-50k Employees (India)
27951,ICICI Prudential...,4.1,(4.3k Reviews),Public,"Mumbai,Maharashtra + 396 more",23 years old,10k-50k Employees (India)
27952,HDFC Life,4.1,(5.5k Reviews),Public,"Mumbai,Maharashtra + 408 more",23 years old,10k-50k Employees (India)
27953,Lupin,4.1,(4.3k Reviews),Public,"Mumbai,Maharashtra + 130 more",55 years old,10k-50k Employees (India)
27954,HCL Group,3.8,(24k Reviews),Chennai + 68 more,50k-1 Lakh Employees (India),,
27955,PwC,3.8,(4.2k Reviews),Partnership,London + 63 more,25 years old,10k-50k Employees (India)
27956,EXL Service,3.9,(5.2k Reviews),Private,"New York City,New York + 32 more",24 years old,10k-50k Employees (India)
27957,iEnergizer,4.2,(4k Reviews),Private,"Noida,Uttar Pradesh + 15 more",23 years old,10k-50k Employees (India)
27958,Indian Army,4.7,(4k Reviews),Public,"New Delhi,Delhi + 267 more",128 years old,1 Lakh+ Employees (India)
27959,L&T Infotech,3.8,(4k Reviews),Public,"Mumbai,Maharashtra + 66 more",27 years old,10k-50k Employees (India)
27960,IndusInd Bank,3.8,(6.6k Reviews),Public,"Gurgaon/Gurugram,Haryana + 556 more",29 years old,10k-50k Employees (India)
27961,Ernst & Young,3.8,(6.2k Reviews),Private,London + 72 more,21 years old,10k-50k Employees (India)
27962,DXC Technology,3.9,(7k Reviews),Public,"Minato,Tokyo + 55 more",6 years old,10k-50k Employees (India)
27963,Hinduja Global S...,4.0,(6k Reviews),Public,"Bangalore/Bengaluru,Karnataka + 72 more",23 years old,10k-50k Employees (India)
27964,Infosys BPM,4.0,(5.8k Reviews),"Bangalore/Bengaluru,Karnataka + 48 more",21 years old,10k-50k Employees (India),
27965,Maruti Suzuki,4.2,(5.8k Reviews),Public,"New Delhi,Delhi + 368 more",40 years old,10k-50k Employees (India)
27966,IDFC FIRST Bank,4.0,(5.3k Reviews),Public,"Mumbai,Maharashtra + 407 more",5 years old,10k-50k Employees (India)
27967,HSBC,4.1,(5.7k Reviews),Private,"Pune,Maharashtra + 52 more",21 years old,1k-5k Employees (India)
27968,Bajaj Finserv,4.0,(5.2k Reviews),Public,"Pune,Maharashtra + 672 more",16 years old,10k-50k Employees (India)
27969,Ericsson,4.3,(5.3k Reviews),Private,"Stockholm,Stockholm County + 128 more",147 years old,10k-50k Employees (India)
27970,Conneqt Business...,3.7,(5.1k Reviews),Private,"Mumbai,Maharashtra + 164 more",21 years old,10k-50k Employees (India)
27971,Mphasis,3.7,(4.8k Reviews),Public,"Bangalore/Bengaluru,Karnataka + 37 more",25 years old,10k-50k Employees (India)
27972,Startek,3.4,(4.8k Reviews),Public,"Mumbai,Maharashtra + 51 more",6 years old,10k-50k Employees (India)
27973,Dr. Reddy's,4.2,(4.8k Reviews),Public,"Hyderabad/Secunderabad,Telangana + 132 more",37 years old,10k-50k Employees (India)
27974,Sutherland Globa...,3.8,(5k Reviews),Private,"Pittsford,New York + 41 more",37 years old,10k-50k Employees (India)
27975,Cipla Pharmaceut...,4.1,(4.7k Reviews),Public,"Mumbai,Maharashtra + 187 more",88 years old,10k-50k Employees (India)
27976,Yes Bank,4.0,(4.5k Reviews),Public,"Mumbai,Maharashtra + 357 more",19 years old,10k-50k Employees (India)
27977,Jana Small Finan...,3.8,(4.5k Reviews),Public,"Bangalore/Bengaluru,Karnataka + 314 more",17 years old,10k-50k Employees (India)
27978,Udaan,4.1,(4.5k Reviews),Private,"Bangalore,Karnataka + 314 more",7 years old,1k-5k Employees (India)
27979,Asian Paints,4.2,(4.6k Reviews),Public,"Mumbai,Maharashtra + 342 more",81 years old,10k-50k Employees (India)
27980,NTT DATA,4.0,(4.6k Reviews),Private,"Chiyoda City,Tokyo + 41 more",35 years old,10k-50k Employees (India)
27981,ICICI Prudential...,4.1,(4.3k Reviews),Public,"Mumbai,Maharashtra + 396 more",23 years old,10k-50k Employees (India)
27982,HDFC Life,4.1,(5.5k Reviews),Public,"Mumbai,Maharashtra + 408 more",23 years old,10k-50k Employees (India)
27983,Lupin,4.1,(4.3k Reviews),Public,"Mumbai,Maharashtra + 130 more",55 years old,10k-50k Employees (India)
27984,HCL Group,3.8,(24k Reviews),Chennai + 68 more,50k-1 Lakh Employees (India),,
27985,PwC,3.8,(4.2k Reviews),Partnership,London + 63 more,25 years old,10k-50k Employees (India)
27986,EXL Service,3.9,(5.2k Reviews),Private,"New York City,New York + 32 more",24 years old,10k-50k Employees (India)
27987,iEnergizer,4.2,(4k Reviews),Private,"Noida,Uttar Pradesh + 15 more",23 years old,10k-50k Employees (India)
27988,Indian Army,4.7,(4k Reviews),Public,"New Delhi,Delhi + 267 more",128 years old,1 Lakh+ Employees (India)
27989,L&T Infotech,3.8,(4k Reviews),Public,"Mumbai,Maharashtra + 66 more",27 years old,10k-50k Employees (India)
27990,IndusInd Bank,3.8,(6.6k Reviews),Public,"Gurgaon/Gurugram,Haryana + 556 more",29 years old,10k-50k Employees (India)
27991,Ernst & Young,3.8,(6.2k Reviews),Private,London + 72 more,21 years old,10k-50k Employees (India)
27992,DXC Technology,3.9,(7k Reviews),Public,"Minato,Tokyo + 55 more",6 years old,10k-50k Employees (India)
27993,Hinduja Global S...,4.0,(6k Reviews),Public,"Bangalore/Bengaluru,Karnataka + 72 more",23 years old,10k-50k Employees (India)
27994,Infosys BPM,4.0,(5.8k Reviews),"Bangalore/Bengaluru,Karnataka + 48 more",21 years old,10k-50k Employees (India),
27995,Maruti Suzuki,4.2,(5.8k Reviews),Public,"New Delhi,Delhi + 368 more",40 years old,10k-50k Employees (India)
27996,IDFC FIRST Bank,4.0,(5.3k Reviews),Public,"Mumbai,Maharashtra + 407 more",5 years old,10k-50k Employees (India)
27997,HSBC,4.1,(5.7k Reviews),Private,"Pune,Maharashtra + 52 more",21 years old,1k-5k Employees (India)
27998,Bajaj Finserv,4.0,(5.2k Reviews),Public,"Pune,Maharashtra + 672 more",16 years old,10k-50k Employees (India)
27999,Ericsson,4.3,(5.3k Reviews),Private,"Stockholm,Stockholm County + 128 more",147 years old,10k-50k Employees (India)
28000,Conneqt Business...,3.7,(5.1k Reviews),Private,"Mumbai,Maharashtra + 164 more",21 years old,10k-50k Employees (India)
28001,Mphasis,3.7,(4.8k Reviews),Public,"Bangalore/Bengaluru,Karnataka + 37 more",25 years old,10k-50k Employees (India)
28002,Startek,3.4,(4.8k Reviews),Public,"Mumbai,Maharashtra + 51 more",6 years old,10k-50k Employees (India)
28003,Dr. Reddy's,4.2,(4.8k Reviews),Public,"Hyderabad/Secunderabad,Telangana + 132 more",37 years old,10k-50k Employees (India)
28004,Sutherland Globa...,3.8,(5k Reviews),Private,"Pittsford,New York + 41 more",37 years old,10k-50k Employees (India)
28005,Cipla Pharmaceut...,4.1,(4.7k Reviews),Public,"Mumbai,Maharashtra + 187 more",88 years old,10k-50k Employees (India)
28006,Yes Bank,4.0,(4.5k Reviews),Public,"Mumbai,Maharashtra + 357 more",19 years old,10k-50k Employees (India)
28007,Jana Small Finan...,3.8,(4.5k Reviews),Public,"Bangalore/Bengaluru,Karnataka + 314 more",17 years old,10k-50k Employees (India)
28008,Udaan,4.1,(4.5k Reviews),Private,"Bangalore,Karnataka + 314 more",7 years old,1k-5k Employees (India)
28009,Asian Paints,4.2,(4.6k Reviews),Public,"Mumbai,Maharashtra + 342 more",81 years old,10k-50k Employees (India)
28010,NTT DATA,4.0,(4.6k Reviews),Private,"Chiyoda City,Tokyo + 41 more",35 years old,10k-50k Employees (India)
28011,ICICI Prudential...,4.1,(4.3k Reviews),Public,"Mumbai,Maharashtra + 396 more",23 years old,10k-50k Employees (India)
28012,HDFC Life,4.1,(5.5k Reviews),Public,"Mumbai,Maharashtra + 408 more",23 years old,10k-50k Employees (India)
28013,Lupin,4.1,(4.3k Reviews),Public,"Mumbai,Maharashtra + 130 more",55 years old,10k-50k Employees (India)
28014,HCL Group,3.8,(24k Reviews),Chennai + 68 more,50k-1 Lakh Employees (India),,
28015,PwC,3.8,(4.2k Reviews),Partnership,London + 63 more,25 years old,10k-50k Employees (India)
28016,EXL Service,3.9,(5.2k Reviews),Private,"New York City,New York + 32 more",24 years old,10k-50k Employees (India)
28017,iEnergizer,4.2,(4k Reviews),Private,"Noida,Uttar Pradesh + 15 more",23 years old,10k-50k Employees (India)
28018,Indian Army,4.7,(4k Reviews),Public,"New Delhi,Delhi + 267 more",128 years old,1 Lakh+ Employees (India)
28019,L&T Infotech,3.8,(4k Reviews),Public,"Mumbai,Maharashtra + 66 more",27 years old,10k-50k Employees (India)
28020,IndusInd Bank,3.8,(6.6k Reviews),Public,"Gurgaon/Gurugram,Haryana + 556 more",29 years old,10k-50k Employees (India)
28021,Ernst & Young,3.8,(6.2k Reviews),Private,London + 72 more,21 years old,10k-50k Employees (India)
28022,DXC Technology,3.9,(7k Reviews),Public,"Minato,Tokyo + 55 more",6 years old,10k-50k Employees (India)
28023,Hinduja Global S...,4.0,(6k Reviews),Public,"Bangalore/Bengaluru,Karnataka + 72 more",23 years old,10k-50k Employees (India)
28024,Infosys BPM,4.0,(5.8k Reviews),"Bangalore/Bengaluru,Karnataka + 48 more",21 years old,10k-50k Employees (India),
28025,Maruti Suzuki,4.2,(5.8k Reviews),Public,"New Delhi,Delhi + 368 more",40 years old,10k-50k Employees (India)
28026,IDFC FIRST Bank,4.0,(5.3k Reviews),Public,"Mumbai,Maharashtra + 407 more",5 years old,10k-50k Employees (India)
28027,HSBC,4.1,(5.7k Reviews),Private,"Pune,Maharashtra + 52 more",21 years old,1k-5k Employees (India)
28028,Bajaj Finserv,4.0,(5.2k Reviews),Public,"Pune,Maharashtra + 672 more",16 years old,10k-50k Employees (India)
28029,Ericsson,4.3,(5.3k Reviews),Private,"Stockholm,Stockholm County + 128 more",147 years old,10k-50k Employees (India)
28030,Conneqt Business...,3.7,(5.1k Reviews),Private,"Mumbai,Maharashtra + 164 more",21 years old,10k-50k Employees (India)
28031,Mphasis,3.7,(4.8k Reviews),Public,"Bangalore/Bengaluru,Karnataka + 37 more",25 years old,10k-50k Employees (India)
28032,Startek,3.4,(4.8k Reviews),Public,"Mumbai,Maharashtra + 51 more",6 years old,10k-50k Employees (India)
28033,Dr. Reddy's,4.2,(4.8k Reviews),Public,"Hyderabad/Secunderabad,Telangana + 132 more",37 years old,10k-50k Employees (India)
28034,Sutherland Globa...,3.8,(5k Reviews),Private,"Pittsford,New York + 41 more",37 years old,10k-50k Employees (India)
28035,Cipla Pharmaceut...,4.1,(4.7k Reviews),Public,"Mumbai,Maharashtra + 187 more",88 years old,10k-50k Employees (India)
28036,Yes Bank,4.0,(4.5k Reviews),Public,"Mumbai,Maharashtra + 357 more",19 years old,10k-50k Employees (India)
28037,Jana Small Finan...,3.8,(4.5k Reviews),Public,"Bangalore/Bengaluru,Karnataka + 314 more",17 years old,10k-50k Employees (India)
28038,Udaan,4.1,(4.5k Reviews),Private,"Bangalore,Karnataka + 314 more",7 years old,1k-5k Employees (India)
28039,Asian Paints,4.2,(4.6k Reviews),Public,"Mumbai,Maharashtra + 342 more",81 years old,10k-50k Employees (India)
28040,NTT DATA,4.0,(4.6k Reviews),Private,"Chiyoda City,Tokyo + 41 more",35 years old,10k-50k Employees (India)
28041,ICICI Prudential...,4.1,(4.3k Reviews),Public,"Mumbai,Maharashtra + 396 more",23 years old,10k-50k Employees (India)
28042,HDFC Life,4.1,(5.5k Reviews),Public,"Mumbai,Maharashtra + 408 more",23 years old,10k-50k Employees (India)
28043,Lupin,4.1,(4.3k Reviews),Public,"Mumbai,Maharashtra + 130 more",55 years old,10k-50k Employees (India)
28044,HCL Group,3.8,(24k Reviews),Chennai + 68 more,50k-1 Lakh Employees (India),,
28045,PwC,3.8,(4.2k Reviews),Partnership,London + 63 more,25 years old,10k-50k Employees (India)
28046,EXL Service,3.9,(5.2k Reviews),Private,"New York City,New York + 32 more",24 years old,10k-50k Employees (India)
28047,iEnergizer,4.2,(4k Reviews),Private,"Noida,Uttar Pradesh + 15 more",23 years old,10k-50k Employees (India)
28048,Indian Army,4.7,(4k Reviews),Public,"New Delhi,Delhi + 267 more",128 years old,1 Lakh+ Employees (India)
28049,L&T Infotech,3.8,(4k Reviews),Public,"Mumbai,Maharashtra + 66 more",27 years old,10k-50k Employees (India)
28050,IndusInd Bank,3.8,(6.6k Reviews),Public,"Gurgaon/Gurugram,Haryana + 556 more",29 years old,10k-50k Employees (India)
28051,Ernst & Young,3.8,(6.2k Reviews),Private,London + 72 more,21 years old,10k-50k Employees (India)
28052,DXC Technology,3.9,(7k Reviews),Public,"Minato,Tokyo + 55 more",6 years old,10k-50k Employees (India)
28053,Hinduja Global S...,4.0,(6k Reviews),Public,"Bangalore/Bengaluru,Karnataka + 72 more",23 years old,10k-50k Employees (India)
28054,Infosys BPM,4.0,(5.8k Reviews),"Bangalore/Bengaluru,Karnataka + 48 more",21 years old,10k-50k Employees (India),
28055,Maruti Suzuki,4.2,(5.8k Reviews),Public,"New Delhi,Delhi + 368 more",40 years old,10k-50k Employees (India)
28056,IDFC FIRST Bank,4.0,(5.3k Reviews),Public,"Mumbai,Maharashtra + 407 more",5 years old,10k-50k Employees (India)
28057,HSBC,4.1,(5.7k Reviews),Private,"Pune,Maharashtra + 52 more",21 years old,1k-5k Employees (India)
28058,Bajaj Finserv,4.0,(5.2k Reviews),Public,"Pune,Maharashtra + 672 more",16 years old,10k-50k Employees (India)
28059,Ericsson,4.3,(5.3k Reviews),Private,"Stockholm,Stockholm County + 128 more",147 years old,10k-50k Employees (India)
28060,Conneqt Business...,3.7,(5.1k Reviews),Private,"Mumbai,Maharashtra + 164 more",21 years old,10k-50k Employees (India)
28061,Mphasis,3.7,(4.8k Reviews),Public,"Bangalore/Bengaluru,Karnataka + 37 more",25 years old,10k-50k Employees (India)
28062,Startek,3.4,(4.8k Reviews),Public,"Mumbai,Maharashtra + 51 more",6 years old,10k-50k Employees (India)
28063,Dr. Reddy's,4.2,(4.8k Reviews),Public,"Hyderabad/Secunderabad,Telangana + 132 more",37 years old,10k-50k Employees (India)
28064,Sutherland Globa...,3.8,(5k Reviews),Private,"Pittsford,New York + 41 more",37 years old,10k-50k Employees (India)
28065,Cipla Pharmaceut...,4.1,(4.7k Reviews),Public,"Mumbai,Maharashtra + 187 more",88 years old,10k-50k Employees (India)
28066,Yes Bank,4.0,(4.5k Reviews),Public,"Mumbai,Maharashtra + 357 more",19 years old,10k-50k Employees (India)
28067,Jana Small Finan...,3.8,(4.5k Reviews),Public,"Bangalore/Bengaluru,Karnataka + 314 more",17 years old,10k-50k Employees (India)
28068,Udaan,4.1,(4.5k Reviews),Private,"Bangalore,Karnataka + 314 more",7 years old,1k-5k Employees (India)
28069,Asian Paints,4.2,(4.6k Reviews),Public,"Mumbai,Maharashtra + 342 more",81 years old,10k-50k Employees (India)
28070,NTT DATA,4.0,(4.6k Reviews),Private,"Chiyoda City,Tokyo + 41 more",35 years old,10k-50k Employees (India)
28071,ICICI Prudential...,4.1,(4.3k Reviews),Public,"Mumbai,Maharashtra + 396 more",23 years old,10k-50k Employees (India)
28072,HDFC Life,4.1,(5.5k Reviews),Public,"Mumbai,Maharashtra + 408 more",23 years old,10k-50k Employees (India)
28073,Lupin,4.1,(4.3k Reviews),Public,"Mumbai,Maharashtra + 130 more",55 years old,10k-50k Employees (India)
28074,HCL Group,3.8,(24k Reviews),Chennai + 68 more,50k-1 Lakh Employees (India),,
28075,PwC,3.8,(4.2k Reviews),Partnership,London + 63 more,25 years old,10k-50k Employees (India)
28076,EXL Service,3.9,(5.2k Reviews),Private,"New York City,New York + 32 more",24 years old,10k-50k Employees (India)
28077,iEnergizer,4.2,(4k Reviews),Private,"Noida,Uttar Pradesh + 15 more",23 years old,10k-50k Employees (India)
28078,Indian Army,4.7,(4k Reviews),Public,"New Delhi,Delhi + 267 more",128 years old,1 Lakh+ Employees (India)
28079,L&T Infotech,3.8,(4k Reviews),Public,"Mumbai,Maharashtra + 66 more",27 years old,10k-50k Employees (India)
28080,IndusInd Bank,3.8,(6.6k Reviews),Public,"Gurgaon/Gurugram,Haryana + 556 more",29 years old,10k-50k Employees (India)
28081,Ernst & Young,3.8,(6.2k Reviews),Private,London + 72 more,21 years old,10k-50k Employees (India)
28082,DXC Technology,3.9,(7k Reviews),Public,"Minato,Tokyo + 55 more",6 years old,10k-50k Employees (India)
28083,Hinduja Global S...,4.0,(6k Reviews),Public,"Bangalore/Bengaluru,Karnataka + 72 more",23 years old,10k-50k Employees (India)
28084,Infosys BPM,4.0,(5.8k Reviews),"Bangalore/Bengaluru,Karnataka + 48 more",21 years old,10k-50k Employees (India),
28085,Maruti Suzuki,4.2,(5.8k Reviews),Public,"New Delhi,Delhi + 368 more",40 years old,10k-50k Employees (India)
28086,IDFC FIRST Bank,4.0,(5.3k Reviews),Public,"Mumbai,Maharashtra + 407 more",5 years old,10k-50k Employees (India)
28087,HSBC,4.1,(5.7k Reviews),Private,"Pune,Maharashtra + 52 more",21 years old,1k-5k Employees (India)
28088,Bajaj Finserv,4.0,(5.2k Reviews),Public,"Pune,Maharashtra + 672 more",16 years old,10k-50k Employees (India)
28089,Ericsson,4.3,(5.3k Reviews),Private,"Stockholm,Stockholm County + 128 more",147 years old,10k-50k Employees (India)
28090,Conneqt Business...,3.7,(5.1k Reviews),Private,"Mumbai,Maharashtra + 164 more",21 years old,10k-50k Employees (India)
28091,Mphasis,3.7,(4.8k Reviews),Public,"Bangalore/Bengaluru,Karnataka + 37 more",25 years old,10k-50k Employees (India)
28092,Startek,3.4,(4.8k Reviews),Public,"Mumbai,Maharashtra + 51 more",6 years old,10k-50k Employees (India)
28093,Dr. Reddy's,4.2,(4.8k Reviews),Public,"Hyderabad/Secunderabad,Telangana + 132 more",37 years old,10k-50k Employees (India)
28094,Sutherland Globa...,3.8,(5k Reviews),Private,"Pittsford,New York + 41 more",37 years old,10k-50k Employees (India)
28095,Cipla Pharmaceut...,4.1,(4.7k Reviews),Public,"Mumbai,Maharashtra + 187 more",88 years old,10k-50k Employees (India)
28096,Yes Bank,4.0,(4.5k Reviews),Public,"Mumbai,Maharashtra + 357 more",19 years old,10k-50k Employees (India)
28097,Jana Small Finan...,3.8,(4.5k Reviews),Public,"Bangalore/Bengaluru,Karnataka + 314 more",17 years old,10k-50k Employees (India)
28098,Udaan,4.1,(4.5k Reviews),Private,"Bangalore,Karnataka + 314 more",7 years old,1k-5k Employees (India)
28099,Asian Paints,4.2,(4.6k Reviews),Public,"Mumbai,Maharashtra + 342 more",81 years old,10k-50k Employees (India)
28100,NTT DATA,4.0,(4.6k Reviews),Private,"Chiyoda City,Tokyo + 41 more",35 years old,10k-50k Employees (India)
28101,ICICI Prudential...,4.1,(4.3k Reviews),Public,"Mumbai,Maharashtra + 396 more",23 years old,10k-50k Employees (India)
28102,HDFC Life,4.1,(5.5k Reviews),Public,"Mumbai,Maharashtra + 408 more",23 years old,10k-50k Employees (India)
28103,Lupin,4.1,(4.3k Reviews),Public,"Mumbai,Maharashtra + 130 more",55 years old,10k-50k Employees (India)
28104,HCL Group,3.8,(24k Reviews),Chennai + 68 more,50k-1 Lakh Employees (India),,
28105,PwC,3.8,(4.2k Reviews),Partnership,London + 63 more,25 years old,10k-50k Employees (India)
28106,EXL Service,3.9,(5.2k Reviews),Private,"New York City,New York + 32 more",24 years old,10k-50k Employees (India)
28107,iEnergizer,4.2,(4k Reviews),Private,"Noida,Uttar Pradesh + 15 more",23 years old,10k-50k Employees (India)
28108,Indian Army,4.7,(4k Reviews),Public,"New Delhi,Delhi + 267 more",128 years old,1 Lakh+ Employees (India)
28109,L&T Infotech,3.8,(4k Reviews),Public,"Mumbai,Maharashtra + 66 more",27 years old,10k-50k Employees (India)
28110,IndusInd Bank,3.8,(6.6k Reviews),Public,"Gurgaon/Gurugram,Haryana + 556 more",29 years old,10k-50k Employees (India)
28111,Ernst & Young,3.8,(6.2k Reviews),Private,London + 72 more,21 years old,10k-50k Employees (India)
28112,DXC Technology,3.9,(7k Reviews),Public,"Minato,Tokyo + 55 more",6 years old,10k-50k Employees (India)
28113,Hinduja Global S...,4.0,(6k Reviews),Public,"Bangalore/Bengaluru,Karnataka + 72 more",23 years old,10k-50k Employees (India)
28114,Infosys BPM,4.0,(5.8k Reviews),"Bangalore/Bengaluru,Karnataka + 48 more",21 years old,10k-50k Employees (India),
28115,Maruti Suzuki,4.2,(5.8k Reviews),Public,"New Delhi,Delhi + 368 more",40 years old,10k-50k Employees (India)
28116,IDFC FIRST Bank,4.0,(5.3k Reviews),Public,"Mumbai,Maharashtra + 407 more",5 years old,10k-50k Employees (India)
28117,HSBC,4.1,(5.7k Reviews),Private,"Pune,Maharashtra + 52 more",21 years old,1k-5k Employees (India)
28118,Bajaj Finserv,4.0,(5.2k Reviews),Public,"Pune,Maharashtra + 672 more",16 years old,10k-50k Employees (India)
28119,Ericsson,4.3,(5.3k Reviews),Private,"Stockholm,Stockholm County + 128 more",147 years old,10k-50k Employees (India)
28120,Conneqt Business...,3.7,(5.1k Reviews),Private,"Mumbai,Maharashtra + 164 more",21 years old,10k-50k Employees (India)
28121,Mphasis,3.7,(4.8k Reviews),Public,"Bangalore/Bengaluru,Karnataka + 37 more",25 years old,10k-50k Employees (India)
28122,Startek,3.4,(4.8k Reviews),Public,"Mumbai,Maharashtra + 51 more",6 years old,10k-50k Employees (India)
28123,Dr. Reddy's,4.2,(4.8k Reviews),Public,"Hyderabad/Secunderabad,Telangana + 132 more",37 years old,10k-50k Employees (India)
28124,Sutherland Globa...,3.8,(5k Reviews),Private,"Pittsford,New York + 41 more",37 years old,10k-50k Employees (India)
28125,Cipla Pharmaceut...,4.1,(4.7k Reviews),Public,"Mumbai,Maharashtra + 187 more",88 years old,10k-50k Employees (India)
28126,Yes Bank,4.0,(4.5k Reviews),Public,"Mumbai,Maharashtra + 357 more",19 years old,10k-50k Employees (India)
28127,Jana Small Finan...,3.8,(4.5k Reviews),Public,"Bangalore/Bengaluru,Karnataka + 314 more",17 years old,10k-50k Employees (India)
28128,Udaan,4.1,(4.5k Reviews),Private,"Bangalore,Karnataka + 314 more",7 years old,1k-5k Employees (India)
28129,Asian Paints,4.2,(4.6k Reviews),Public,"Mumbai,Maharashtra + 342 more",81 years old,10k-50k Employees (India)
28130,NTT DATA,4.0,(4.6k Reviews),Private,"Chiyoda City,Tokyo + 41 more",35 years old,10k-50k Employees (India)
28131,ICICI Prudential...,4.1,(4.3k Reviews),Public,"Mumbai,Maharashtra + 396 more",23 years old,10k-50k Employees (India)
28132,HDFC Life,4.1,(5.5k Reviews),Public,"Mumbai,Maharashtra + 408 more",23 years old,10k-50k Employees (India)
28133,Lupin,4.1,(4.3k Reviews),Public,"Mumbai,Maharashtra + 130 more",55 years old,10k-50k Employees (India)
28134,HCL Group,3.8,(24k Reviews),Chennai + 68 more,50k-1 Lakh Employees (India),,
28135,PwC,3.8,(4.2k Reviews),Partnership,London + 63 more,25 years old,10k-50k Employees (India)
28136,EXL Service,3.9,(5.2k Reviews),Private,"New York City,New York + 32 more",24 years old,10k-50k Employees (India)
28137,iEnergizer,4.2,(4k Reviews),Private,"Noida,Uttar Pradesh + 15 more",23 years old,10k-50k Employees (India)
28138,Indian Army,4.7,(4k Reviews),Public,"New Delhi,Delhi + 267 more",128 years old,1 Lakh+ Employees (India)
28139,L&T Infotech,3.8,(4k Reviews),Public,"Mumbai,Maharashtra + 66 more",27 years old,10k-50k Employees (India)
28140,IndusInd Bank,3.8,(6.6k Reviews),Public,"Gurgaon/Gurugram,Haryana + 556 more",29 years old,10k-50k Employees (India)
28141,Ernst & Young,3.8,(6.2k Reviews),Private,London + 72 more,21 years old,10k-50k Employees (India)
28142,DXC Technology,3.9,(7k Reviews),Public,"Minato,Tokyo + 55 more",6 years old,10k-50k Employees (India)
28143,Hinduja Global S...,4.0,(6k Reviews),Public,"Bangalore/Bengaluru,Karnataka + 72 more",23 years old,10k-50k Employees (India)
28144,Infosys BPM,4.0,(5.8k Reviews),"Bangalore/Bengaluru,Karnataka + 48 more",21 years old,10k-50k Employees (India),
28145,Maruti Suzuki,4.2,(5.8k Reviews),Public,"New Delhi,Delhi + 368 more",40 years old,10k-50k Employees (India)
28146,IDFC FIRST Bank,4.0,(5.3k Reviews),Public,"Mumbai,Maharashtra + 407 more",5 years old,10k-50k Employees (India)
28147,HSBC,4.1,(5.7k Reviews),Private,"Pune,Maharashtra + 52 more",21 years old,1k-5k Employees (India)
28148,Bajaj Finserv,4.0,(5.2k Reviews),Public,"Pune,Maharashtra + 672 more",16 years old,10k-50k Employees (India)
28149,Ericsson,4.3,(5.3k Reviews),Private,"Stockholm,Stockholm County + 128 more",147 years old,10k-50k Employees (India)
28150,Conneqt Business...,3.7,(5.1k Reviews),Private,"Mumbai,Maharashtra + 164 more",21 years old,10k-50k Employees (India)
28151,Mphasis,3.7,(4.8k Reviews),Public,"Bangalore/Bengaluru,Karnataka + 37 more",25 years old,10k-50k Employees (India)
28152,Startek,3.4,(4.8k Reviews),Public,"Mumbai,Maharashtra + 51 more",6 years old,10k-50k Employees (India)
28153,Dr. Reddy's,4.2,(4.8k Reviews),Public,"Hyderabad/Secunderabad,Telangana + 132 more",37 years old,10k-50k Employees (India)
28154,Sutherland Globa...,3.8,(5k Reviews),Private,"Pittsford,New York + 41 more",37 years old,10k-50k Employees (India)
28155,Cipla Pharmaceut...,4.1,(4.7k Reviews),Public,"Mumbai,Maharashtra + 187 more",88 years old,10k-50k Employees (India)
28156,Yes Bank,4.0,(4.5k Reviews),Public,"Mumbai,Maharashtra + 357 more",19 years old,10k-50k Employees (India)
28157,Jana Small Finan...,3.8,(4.5k Reviews),Public,"Bangalore/Bengaluru,Karnataka + 314 more",17 years old,10k-50k Employees (India)
28158,Udaan,4.1,(4.5k Reviews),Private,"Bangalore,Karnataka + 314 more",7 years old,1k-5k Employees (India)
28159,Asian Paints,4.2,(4.6k Reviews),Public,"Mumbai,Maharashtra + 342 more",81 years old,10k-50k Employees (India)
28160,NTT DATA,4.0,(4.6k Reviews),Private,"Chiyoda City,Tokyo + 41 more",35 years old,10k-50k Employees (India)
28161,ICICI Prudential...,4.1,(4.3k Reviews),Public,"Mumbai,Maharashtra + 396 more",23 years old,10k-50k Employees (India)
28162,HDFC Life,4.1,(5.5k Reviews),Public,"Mumbai,Maharashtra + 408 more",23 years old,10k-50k Employees (India)
28163,Lupin,4.1,(4.3k Reviews),Public,"Mumbai,Maharashtra + 130 more",55 years old,10k-50k Employees (India)
28164,HCL Group,3.8,(24k Reviews),Chennai + 68 more,50k-1 Lakh Employees (India),,
28165,PwC,3.8,(4.2k Reviews),Partnership,London + 63 more,25 years old,10k-50k Employees (India)
28166,EXL Service,3.9,(5.2k Reviews),Private,"New York City,New York + 32 more",24 years old,10k-50k Employees (India)
28167,iEnergizer,4.2,(4k Reviews),Private,"Noida,Uttar Pradesh + 15 more",23 years old,10k-50k Employees (India)
28168,Indian Army,4.7,(4k Reviews),Public,"New Delhi,Delhi + 267 more",128 years old,1 Lakh+ Employees (India)
28169,L&T Infotech,3.8,(4k Reviews),Public,"Mumbai,Maharashtra + 66 more",27 years old,10k-50k Employees (India)
28170,IndusInd Bank,3.8,(6.6k Reviews),Public,"Gurgaon/Gurugram,Haryana + 556 more",29 years old,10k-50k Employees (India)
